Timestamp,CommittedMB,CommitLimitMB,CommitPct,AvailableMB,PagesPerSec,DiskQueueLen,BraveProcCount,BravePrivateTotalMB,BraveWorkingSetTotalMB,BraveHandlesTotal,TopBraveProc,TopBravePrivateMB
2026-05-12 18:25:10,116580.6,132895.1,87.7,14459,349.5,0.03,116,22619.1,12814.6,61739,brave_26232,3429.1
2026-05-12 18:26:12,115883.3,132895.1,87.2,15134,35.5,0.01,115,21998.9,12386.2,61307,brave_26232,3569.3
2026-05-12 18:27:13,116897.9,132895.1,88,14486,17.8,0,115,23011.4,13086.8,61418,brave_26232,3533.2
2026-05-12 18:28:14,116174.6,132895.1,87.4,14894,2,0.01,108,21253.5,11667.4,57783,brave_26232,3327.4
2026-05-12 18:29:15,116237,132895.1,87.5,14991,17.9,0.02,115,22044.4,12484.9,61230,brave_26232,3453.9
2026-05-12 18:30:16,116355.8,132895.1,87.6,14704,5,0,115,22507.9,12890.9,61337,brave_26232,3411.8
2026-05-12 18:31:18,116273.1,132895.1,87.5,14877,19.2,0.01,116,22190.8,12521,61634,brave_26232,3352.8
2026-05-12 18:32:20,116234.5,132895.1,87.5,15162,0.5,0.02,115,22178.1,12520.9,61313,brave_26232,3368.8
2026-05-12 18:33:23,117184.9,132895.1,88.2,14610,9.9,0.02,115,22090,12573.7,61330,brave_26232,3356
2026-05-12 18:34:26,116788.1,132895.1,87.9,14772,1.8,0.01,115,22091.7,12560.2,61293,brave_26232,3355.2
2026-05-12 18:35:29,115462.4,132895.1,86.9,15121,0,0,108,21259.9,11796.3,57791,brave_26232,3255.4
2026-05-12 18:36:30,114929.8,132895.1,86.5,15813,112,0.03,108,21079.6,11439.3,57753,brave_26232,3216.1
</content>
</invoke>
