i,start_days,end_days,mid_days,mass,empirical_cdf_at_end,predicted_cdf_unshifted_at_end,predicted_cdf_shifted_at_end,predicted_mass_unshifted_in_bin,predicted_mass_shifted_in_bin
0,0,1,0.5,0,0,0.00012025896932693625,0,0.00012025896932693625,0
1,1,2,1.5,0,0,0.01112930283648017,0,0.011009043867153234,0
2,2,3,2.5,0,0,0.07010706022015911,0,0.05897775738367894,0
3,3,4,3.5,0,0,0.1841584941513627,0,0.1140514339312036,0
4,4,5,4.5,10,0.3571428571428572,0.32515085322556464,0.03068911941217134,0.14099235907420193,0.03068911941217134
5,5,6,5.5,4,0.5000000000000001,0.4646600846853375,0.39034685449961615,0.13950923145977284,0.3596577350874448
6,6,7,6.5,1,0.5357142857142858,0.5869091274120062,0.7246583846938008,0.1222490427266687,0.3343115301941847
7,7,8,7.5,5.404395604395605,0.7287284144427002,0.6867517988124594,0.8855996506808863,0.09984267140045322,0.16094126598708547
8,8,9,8.5,0.421978021978022,0.7437990580847723,0.7649235808626299,0.9523739443886181,0.0781717820501705,0.0667742937077318
9,9,"",9.5,7.173626373626374,1,1,1,0.2350764191373701,0.04762605561138189
