i,start_days,end_days,mid_days,mass,empirical_cdf_at_end,predicted_cdf_unshifted_at_end,predicted_cdf_shifted_at_end
0,4.166666666666667,4.208333333333333,4.1875,1,0.03571428571428571,0.21241034493546995,0
1,4.208333333333333,4.25,4.229166666666666,1,0.07142857142857142,0.21817214856521316,7.466194329452946e-12
7,4.458333333333333,4.5,4.479166666666666,1,0.10714285714285714,0.2533245489758931,0.00008972351328578876
8,4.5,4.541666666666667,4.520833333333334,4,0.25,0.25925915536879596,0.00023025185066921638
9,4.541666666666667,4.583333333333333,4.5625,1,0.2857142857142857,0.2652096463139837,0.0005087863584541941
10,4.583333333333333,4.625,4.604166666666666,1,0.32142857142857145,0.2711739382325086,0.0010015103766799482
14,4.75,4.791666666666667,4.770833333333334,1,0.35714285714285715,0.2951289109399143,0.007032243614020162
35,5.625,5.666666666666667,5.645833333333334,1,0.39285714285714285,0.4195609488640086,0.24742813468100544
37,5.708333333333333,5.75,5.729166666666666,1,0.42857142857142855,0.431003751599729,0.2831037501957242
41,5.875,5.916666666666667,5.895833333333334,1,0.4642857142857143,0.45355973434946,0.3549221521602224
43,5.958333333333333,6,5.979166666666666,1,0.5,0.4646600846853375,0.39034685449961615
57,6.541666666666667,6.583333333333333,6.5625,1,0.5357142857142857,0.5385826300095246,0.6091793124720843
68,7,7.041666666666667,7.020833333333334,5,0.7142857142857143,0.5915254145510292,0.7343602732346292
69,7.041666666666667,26,16.520833333333332,8,1,0.9977722026452767,0.9999986182242632
