i,start_days,end_days,mid_days,mass,empirical_cdf_at_end,predicted_cdf_unshifted_at_end,predicted_cdf_shifted_at_end,predicted_mass_unshifted_in_bin,predicted_mass_shifted_in_bin
0,0,1,0.5,0,0,0.000049743300015114844,0,0.000049743300015114844,0
1,1,2,1.5,0,0,0.0061114869334659705,0,0.006061743633450856,0
2,2,3,2.5,0,0,0.0450650574767435,0,0.03895357054327753,0
3,3,4,3.5,0,0,0.13149604879272325,0,0.08643099131597975,0
4,4,5,4.5,2,0.2222222222222222,0.25045442677113566,0.011930484004006425,0.11895837797841241,0.011930484004006425
5,5,6,5.5,1,0.3333333333333333,0.3788825558642162,0.20426273726444266,0.12842812909308055,0.19233225326043624
6,6,7,6.5,0,0.3333333333333333,0.49995382666720045,0.4998906265653298,0.12107127080298424,0.2956278893008871
7,7,8,7.5,3,0.6666666666666666,0.605244972731231,0.7199489524815865,0.10529114606403056,0.22005832591625674
8,8,9,8.5,1,0.7777777777777778,0.6923466896049977,0.849320342665726,0.08710171687376667,0.12937139018413946
9,9,"",9.5,2,1,1,1,0.3076533103950023,0.15067965733427402
