i,start_days,end_days,mid_days,mass,empirical_cdf_at_end,predicted_cdf_unshifted_at_end,predicted_cdf_shifted_at_end,predicted_mass_unshifted_in_bin,predicted_mass_shifted_in_bin
0,0,1,0.5,0,0,0.00004974567313664746,0,0.00004974567313664746,0
1,1,2,1.5,0,0,0.006111686952377238,0,0.00606194127924059,0
2,2,3,2.5,0,0,0.04506615577647127,0,0.038954468824094035,0
3,3,4,3.5,0,0,0.1314985165510167,0,0.08643236077454541,0
4,4,5,4.5,2,0.3333333333333333,0.25045810809856683,0.00009292798522664292,0.11895959154755015,0.00009292798522664292
5,5,6,5.5,0,0.3333333333333333,0.37888695855205023,0.1357629687246087,0.1284288504534834,0.13567004073938205
6,6,7,6.5,0,0.3333333333333333,0.49995844383019056,0.4998770080261602,0.12107148527814032,0.3641140393015515
7,7,8,7.5,4,1,0.6052494282404266,0.7595923343424564,0.10529098441023604,0.25971532631629624
8,8,9,8.5,0,1,0.6923507590759022,0.8897823949396402,0.08710133083547555,0.13019006059718374
9,9,"",9.5,0,1,1,1,0.30764924092409784,0.11021760506035982
